result_id	quantity	value	unit	uncertainty	source_evidence_id	input_parameters_evidence_ids	script_or_method	run_id	status	verification_method	superseded_by	notes
RES-ABL-FULL	Overall accuracy (full pipeline)	80.6	%	LLM non-determinism ~1-2pp	EVID-20260619-1335-ablation-full	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Baseline for ablation
RES-ABL-FULL-E	Easy accuracy (full)	100.0	%	N/A	EVID-20260619-1335-ablation-full	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	20/20 correct
RES-ABL-FULL-M	Medium accuracy (full)	96.1	%	LLM non-determinism	EVID-20260619-1335-ablation-full	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	
RES-ABL-FULL-H	Hard accuracy (full)	80.4	%	LLM non-determinism	EVID-20260619-1335-ablation-full	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	
RES-ABL-FULL-VH	Very Hard accuracy (full)	38.5	%	LLM non-determinism	EVID-20260619-1335-ablation-full	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	
RES-ABL-NOFS	Overall accuracy (no_fewshot)	68.2	%	LLM non-determinism	EVID-20260619-1335-ablation-nofewshot	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-12.5pp from full
RES-ABL-NOFS-E	Easy accuracy (no_fewshot)	95.0	%	LLM non-determinism	EVID-20260619-1335-ablation-nofewshot	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-5.0pp from full
RES-ABL-NOFS-M	Medium accuracy (no_fewshot)	79.6	%	LLM non-determinism	EVID-20260619-1335-ablation-nofewshot	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-16.5pp from full
RES-ABL-NODICT	Overall accuracy (no_dict)	73.9	%	LLM non-determinism	EVID-20260619-1335-ablation-nodict	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-6.7pp from full
RES-ABL-NODICT-VH	VH accuracy (no_dict)	15.8	%	LLM non-determinism	EVID-20260619-1335-ablation-nodict	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-22.7pp from full VH
RES-ABL-NORR	Overall accuracy (no_reranker)	76.6	%	LLM non-determinism	EVID-20260619-1335-ablation-noreranker	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-4.1pp from full
RES-ABL-NOGUARD	Overall accuracy (no_guard)	80.4	%	LLM non-determinism	EVID-20260619-1335-ablation-noguard	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-0.2pp from full
RES-ABL-NONBEST	Overall accuracy (no_nbest)	80.4	%	LLM non-determinism	EVID-20260619-1335-ablation-nonbest	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-0.2pp; latency 13s vs 33s
RES-ABL-NOGRAPH	Overall accuracy (no_graph)	80.5	%	LLM non-determinism	EVID-20260619-1335-ablation-nograph	EVID-20260619-1335-model-gpt55	eval_ablation.py	ablation-7x100	VERIFIED	compute_all_figures.py	N/A	Delta=-0.2pp from full
RES-RR-RERANKER	Reranker overall (90q)	77.2	%	LLM non-determinism	EVID-20260619-1335-reranker-eval	EVID-20260619-1335-model-gpt55	eval_reranker_ab.py	reranker-ab-90q	ACTIVE	compute_all_figures.py	N/A	90-query subset
RES-RR-BASELINE	Baseline overall (90q)	69.4	%	LLM non-determinism	EVID-20260619-1335-reranker-eval	EVID-20260619-1335-model-gpt55	eval_reranker_ab.py	reranker-ab-90q	ACTIVE	compute_all_figures.py	N/A	90-query subset, n_best=1
RES-RR-DELTA	Reranker delta (90q)	+7.7	pp	LLM non-determinism	EVID-20260619-1335-reranker-eval	EVID-20260619-1335-model-gpt55	eval_reranker_ab.py	reranker-ab-90q	ACTIVE	compute_all_figures.py	N/A	77.2 - 69.4
RES-JP-MARCO	ms-marco VH accuracy	32.4	%	LLM non-determinism	EVID-20260619-1335-jp-reranker	EVID-20260619-1335-model-gpt55	eval_jp_reranker_vh.py	jp-reranker-vh20	ACTIVE	compute_all_figures.py	N/A	20 VH queries
RES-JP-XSMALL	jp-xsmall VH accuracy	28.1	%	LLM non-determinism	EVID-20260619-1335-jp-reranker	EVID-20260619-1335-model-gpt55	eval_jp_reranker_vh.py	jp-reranker-vh20	ACTIVE	compute_all_figures.py	N/A	20 VH queries
RES-JP-DELTA	JP reranker VH delta	-4.3	pp	LLM non-determinism	EVID-20260619-1335-jp-reranker	EVID-20260619-1335-model-gpt55	eval_jp_reranker_vh.py	jp-reranker-vh20	ACTIVE	compute_all_figures.py	N/A	28.1 - 32.4
RES-MECAB-RATE	MeCab single-token rate	100.0	%	N/A	EVID-20260619-1335-mecab-dict	N/A	build_mecab_materials_dict.py	mecab-build	VERIFIED	402/402 terms verified	N/A	vs 30.6% default
RES-OLD-PROPOSED	Old proposed_result.csv overall	~70.8	%	unknown	EVID-20260619-OLD-proposed-csv	N/A	run_proposed_only.py	old runs	SUPERSEDED	N/A	RES-ABL-FULL	From prior paper version, n_best=1
