qid,question,eval_set,category,category_ja,difficulty_original,difficulty_cte_folded,is_cte,tables,n_tables,n_joins,has_aggregation,has_subquery,sql_features,gold_sql_available,expected_result_available
q_cte_006,A-site元素ごとに純元素基底状態基準に再基準化した生成エネルギーが最も低いL1₂化合物を1件ずつ出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,5,True,False,CTE;window;aggregation;group_by,True,True
q_cte_007,多形数が多い純物質元素上位5つについて、その元素の多形数、その元素を含むL1₂化合物数と平均形成エネルギーを出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,4,True,False,CTE;aggregation;group_by;distinct,True,True
q_cte_008,B-site元素ごとの純元素基底状態基準に再基準化した生成エネルギーの平均が-0.4 eV/atom未満のグループを、化合物数と平均値とともに出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference,4,4,True,False,CTE;aggregation;group_by;having,True,True
q_cte_009,元素ごとに安定なL1₂化合物の数と純元素基底状態基準に再基準化した生成エネルギーの平均を計算し、化合物数上位5元素を出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,5,True,False,CTE;aggregation;group_by;distinct,True,True
q_cte_010,体積弾性率が150 GPa以上のL1₂化合物の純元素基底状態基準に再基準化した生成エネルギーを計算して出して。,main,multistep,多段計算,very_hard,very_hard,True,calculation;composition;elastic_tensor;material_entry;phase_stability;pure_element_reference;structure,7,6,True,False,CTE;aggregation;group_by,True,True
q_cte_011,デバイ温度が高い上位10件のL1₂化合物について純元素基底状態基準に再基準化した生成エネルギーも計算して出して。,main,multistep,多段計算,very_hard,very_hard,True,calculation;composition;material_entry;phase_stability;pure_element_reference;structure;thermal_property,7,6,True,False,CTE;aggregation;group_by,True,True
q_cte_012,強磁性のL1₂化合物の純元素基底状態基準に再基準化した生成エネルギーを計算して再基準化生成エネルギーが低い順に出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;magnetic_property;material_entry;phase_stability;pure_element_reference;structure,6,5,True,False,CTE;aggregation;group_by,True,True
q_cte_013,形成エネルギーと純物質補正後の生成エンタルピーの差が大きいL1₂化合物上位10件を、形成エネルギー・加重純物質基準補正量・補正量の絶対値とともに出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,4,True,False,CTE;aggregation;group_by,True,True
q_cte_014,元素ごとに、その元素を含むL1₂化合物の総数と、純元素基底状態基準に再基準化した生成エネルギーが負である件数、負である割合を出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,5,True,False,CTE;aggregation;group_by;distinct,True,True
q_cte_015,純物質の原子あたり体積が15Å³以上のA-site元素を持つ安定L1₂化合物の純元素基底状態基準に再基準化した生成エネルギーの平均を、A-site元素ごとに化合物数とともに出して。,main,multistep,多段計算,very_hard,very_hard,True,composition;material_entry;phase_stability;pure_element_reference;structure,5,6,True,False,CTE;aggregation;group_by,True,True
