qid,eval_set,difficulty,question,execution_recall,exact_match,latency_s,passed
q_easy_001,main,easy,L1₂構造を持つ化合物を一覧にして。,1.0000,0,24.1,1
q_easy_002,main,easy,Niを含むL1₂型金属間化合物を抽出して。,1.0000,0,33.0,1
q_easy_003,main,easy,A₃B型組成を持つ化合物を表示して。,1.0000,0,30.3,1
q_easy_004,main,easy,L12型化合物の格子定数を一覧にして。,1.0000,0,10.2,1
q_easy_005,main,easy,Coを含む化合物を表示して。,1.0000,1,19.6,1
q_easy_006,main,easy,cubic構造の化合物を一覧にして。,1.0000,0,16.2,1
q_easy_007,main,easy,L1₂型化合物のリストを出して。,1.0000,0,18.1,1
q_easy_008,main,easy,Alを含む化合物を抽出して。,1.0000,1,17.4,1
q_easy_009,main,easy,空間群番号221の化合物を表示して。,1.0000,0,16.4,1
q_easy_010,main,easy,Tiを含むL1₂型化合物を一覧にして。,1.0000,0,24.6,1
q_easy_011,main,easy,全化合物のformula一覧を出して。,1.0000,0,16.4,1
q_easy_012,main,easy,L12型化合物の数を教えて。,1.0000,0,15.2,1
q_easy_013,main,easy,Ptを含む化合物を表示して。,1.0000,1,22.0,1
q_easy_014,main,easy,NiとAlの両方を含む化合物を抽出して。,1.0000,0,29.8,1
q_easy_015,main,easy,Gaを含むL1₂型化合物を表示して。,1.0000,0,32.8,1
q_easy_016,main,easy,Feを含む化合物を一覧にして。,1.0000,1,18.6,1
q_easy_017,main,easy,Aサイトの元素を一覧にして。,1.0000,1,21.2,1
q_easy_018,main,easy,化合物の元素系を表示して。,1.0000,0,21.5,1
q_easy_019,main,easy,L1₂型でcubic構造の化合物を出して。,1.0000,0,24.0,1
q_easy_020,main,easy,Wを含むL1₂型化合物を表示して。,1.0000,0,35.1,1
q_medium_001,main,medium,Niを含む安定なL1₂型化合物を抽出して。,1.0000,0,35.3,1
q_medium_002,main,medium,形成エネルギーが負のL1₂型化合物を元素組み合わせごとに整理して。,1.0000,0,31.0,1
q_medium_003,main,medium,Alを含む安定なL1₂型金属間化合物を抽出して。,1.0000,0,42.9,1
q_medium_004,main,medium,Ni₃Alに近い格子定数を持つL1₂化合物を探して。,1.0000,1,34.9,1
q_medium_005,main,medium,安定なL1₂型化合物を形成エネルギーが低い順に出して。,1.0000,1,33.7,1
q_medium_006,main,medium,準安定なL1₂型化合物を抽出して。,1.0000,0,32.8,1
q_medium_007,main,medium,L1₂型化合物の形成エネルギー分布を教えて。,1.0000,1,29.8,1
q_medium_008,main,medium,Co含有L1₂型化合物を安定性の高い順に表示して。,1.0000,0,29.8,1
q_medium_009,main,medium,格子定数が3.5Å以上のL1₂化合物を出して。,1.0000,1,25.5,1
q_medium_010,main,medium,NiまたはCoを含むL1₂型化合物を一覧にして。,1.0000,0,41.1,1
q_medium_011,main,medium,形成エネルギーが-0.4以下のL1₂型化合物を出して。,1.0000,1,31.3,1
