parameter_name	value	unit	scope	first_seen_evidence_id	last_seen_evidence_id	status	reason_for_status	superseded_by	used_in_runs	do_not_use_reason
LLM_MODEL	gpt-5.5	N/A	all evaluations	EVID-20260619-1335-model-gpt55	EVID-20260619-1335-model-gpt55	ACTIVE	Set in ablation JSON	N/A	ablation-7x100, reranker-ab-90q, jp-reranker-vh20	
RERANK_MODEL	gpt-5.5	N/A	SQL candidate + schema reranking	EVID-20260619-1335-model-gpt55	EVID-20260619-1335-model-gpt55	ACTIVE	Same as LLM_MODEL	N/A	ablation-7x100	
CROSS_ENCODER_MODEL	cross-encoder/ms-marco-MiniLM-L-6-v2	N/A	few-shot reranking	EVID-20260619-1335-ablation-json	EVID-20260619-1335-ablation-json	ACTIVE	Confirmed in reranker.py	N/A	ablation-7x100	
N_BEST	3	dimensionless	SQL candidate generation	EVID-20260619-1335-ablation-json	EVID-20260619-1335-ablation-json	ACTIVE	Ablation full condition	N/A	ablation-7x100 (except no_nbest=1)	
N_QUERIES_AUTHOR	100	dimensionless	evaluation dataset	EVID-20260619-1335-dataset-author	EVID-20260619-1335-dataset-author	ACTIVE	evaluation_dataset.jsonl line count	N/A	ablation-7x100	
N_EASY	20	dimensionless	evaluation dataset	EVID-20260619-1335-dataset-author	EVID-20260619-1335-dataset-author	ACTIVE	JSON parse	N/A	ablation-7x100	
N_MEDIUM	30	dimensionless	evaluation dataset	EVID-20260619-1335-dataset-author	EVID-20260619-1335-dataset-author	ACTIVE	JSON parse	N/A	ablation-7x100	
N_HARD	30	dimensionless	evaluation dataset	EVID-20260619-1335-dataset-author	EVID-20260619-1335-dataset-author	ACTIVE	JSON parse	N/A	ablation-7x100	
N_VERY_HARD	20	dimensionless	evaluation dataset	EVID-20260619-1335-dataset-author	EVID-20260619-1335-dataset-author	ACTIVE	JSON parse	N/A	ablation-7x100	
N_TABLES	31	dimensionless	database schema	EVID-20260619-1335-db-schema	EVID-20260602-0045-oqmd-db-update	ACTIVE	psql \dt count (30→31 after pure_element_reference)	N/A	all	
N_MATERIAL_ENTRIES	1559	dimensionless	database	EVID-20260619-1335-db-schema	EVID-20260602-0045-oqmd-db-update	ACTIVE	SELECT COUNT(*) (1470+89 pure elements)	N/A	all	
N_ABLATION_CONDITIONS	7	dimensionless	ablation	EVID-20260619-1335-ablation-json	EVID-20260619-1335-ablation-json	ACTIVE	JSON keys count	N/A	ablation-7x100	
TOTAL_EVALUATIONS	700	dimensionless	ablation	EVID-20260619-1335-ablation-json	EVID-20260619-1335-ablation-json	ACTIVE	7 x 100	N/A	ablation-7x100	
N_MECAB_TERMS	492	dimensionless	MeCab dictionary	EVID-20260619-1335-mecab-dict	EVID-20260619-1335-mecab-dict	ACTIVE	CSV line count	N/A	mecab-build	
POSTGRES_PORT	5433	N/A	local environment	EVID-20260619-1335-db-schema	EVID-20260619-1335-db-schema	ACTIVE	pg_lsclusters confirmed	N/A	all	
gpt-4o-mini	N/A	N/A	N/A	N/A	N/A	DO-NOT-USE	User explicitly prohibited	N/A	N/A	User said: gpt-4o-miniはやめろといったはずだが
old_n_best_1	1	dimensionless	old baseline	EVID-20260619-OLD-proposed-csv	EVID-20260619-OLD-proposed-csv	SUPERSEDED	Replaced by n_best=3 in ablation	N_BEST	old baseline runs	
N_PURE_ELEMENTS	89	dimensionless	database	EVID-20260602-0045-oqmd-pure-elements	EVID-20260602-0045-oqmd-pure-elements	ACTIVE	OQMD ground-state data	N/A	oqmd-fetch	
N_OQMD_POLYMORPHS	3212	dimensionless	api	EVID-20260602-0045-oqmd-pure-elements	EVID-20260602-0045-oqmd-pure-elements	ACTIVE	Total polymorphs fetched from OQMD	N/A	oqmd-fetch	
