evidence_id	timestamp_observed	source_type	source_path_or_url	source_internal_date	git_commit	run_id	claim_or_value	status	verification_method	superseded_by	notes
EVID-20260619-1335-ablation-json	2026-06-19 13:35 UTC	file	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	7-condition ablation results (700 queries)	ACTIVE	Loaded by compute_all_figures.py, values cross-checked		Primary source for all ablation numbers
EVID-20260619-1335-ablation-full	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	full overall=80.65%	VERIFIED	compute_all_figures.py -> paper_data.json		Baseline condition
EVID-20260619-1335-ablation-nofewshot	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_fewshot overall=68.17% delta=-12.5pp	VERIFIED	compute_all_figures.py -> paper_data.json		Largest ablation delta
EVID-20260619-1335-ablation-nodict	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_dict overall=73.93% delta=-6.7pp	VERIFIED	compute_all_figures.py -> paper_data.json		VH delta=-22.7pp
EVID-20260619-1335-ablation-noreranker	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_reranker overall=76.56% delta=-4.1pp	VERIFIED	compute_all_figures.py -> paper_data.json		
EVID-20260619-1335-ablation-noguard	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_guard overall=80.44% delta=-0.2pp	VERIFIED	compute_all_figures.py -> paper_data.json		
EVID-20260619-1335-ablation-nonbest	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_nbest overall=80.41% delta=-0.2pp	VERIFIED	compute_all_figures.py -> paper_data.json		Latency halved (33s->13s)
EVID-20260619-1335-ablation-nograph	2026-06-19 13:35 UTC	computed	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	no_graph overall=80.49% delta=-0.2pp	VERIFIED	compute_all_figures.py -> paper_data.json		
EVID-20260619-1335-reranker-eval	2026-06-19 13:35 UTC	file	evaluation/reranker_eval_results.json	2026-06-18	a9f5974	reranker-ab-90q	Reranker 77.2% vs baseline 69.4% delta=+7.7pp (90 queries)	ACTIVE	compute_all_figures.py -> paper_data.json		Separate run from ablation; used for reranker delta only
EVID-20260619-1335-jp-reranker	2026-06-19 13:35 UTC	file	evaluation/jp_reranker_vh_results.json	2026-06-19	a9f5974	jp-reranker-vh20	ms-marco VH=32.4% vs jp-xsmall VH=28.1% delta=-4.3pp	ACTIVE	compute_all_figures.py -> paper_data.json		JP reranker inferior
EVID-20260619-1335-mecab-dict	2026-06-19 13:35 UTC	file	llm/mecab_materials.csv	2026-06-19	a9f5974	mecab-build	492 unique terms, 100% single-token rate (vs 30.6% default)	ACTIVE	build_mecab_materials_dict.py output		
EVID-20260619-1335-dataset-author	2026-06-19 13:35 UTC	file	evaluation/evaluation_dataset.jsonl	2026-06-19	a9f5974	N/A	100 queries: E=20 M=30 H=30 VH=20	ACTIVE	Line count + JSON parse		
EVID-20260619-1335-db-schema	2026-06-19 13:35 UTC	database	localhost:5433/l12_materials	2026-06-19	N/A	N/A	30 tables, 1470 material_entry, 2940 composition, 4410 calculated_property	ACTIVE	psql \dt + SELECT COUNT(*)		
EVID-20260619-1335-model-gpt55	2026-06-19 13:35 UTC	config	evaluation/ablation_results.json	2026-06-19	a9f5974	ablation-7x100	LLM model = gpt-5.5	ACTIVE	JSON field "model"		
EVID-20260619-1335-paper-data	2026-06-19 13:35 UTC	computed	paper/paper_data.json	2026-06-19	pending	compute-all	Unified paper data JSON	ACTIVE	scripts/compute_all_figures.py exit code 0		
EVID-20260619-OLD-paper-figures	prior sessions	file	paper/paper_figures.json	prior	various	various	Old SSoT file from prior sessions	SUPERSEDED		EVID-20260619-1335-paper-data	Replaced by paper_data.json
EVID-20260619-OLD-proposed-csv	prior sessions	file	evaluation/proposed_result.csv	prior	various	various	Old n_best=1 baseline results	SUPERSEDED		EVID-20260619-1335-ablation-full	Replaced by ablation full condition
EVID-20260619-OLD-3run-csvs	prior sessions	file	evaluation/proposed_result_run{1,2,3}.csv	prior	various	various	Old 3-run evaluation results	SUPERSEDED		EVID-20260619-1335-ablation-full	From prior paper version
EVID-20260619-OLD-old-tex	prior sessions	file	paper/t2sql_materials_paper.tex	prior	various	various	Old LaTeX paper (3214 lines)	SUPERSEDED		N/A	To be deleted per user request
EVID-20260619-OLD-old-pdf	prior sessions	file	paper/t2sql_materials_paper.pdf	prior	various	various	Old compiled PDF	SUPERSEDED		N/A	To be deleted per user request
