query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.formula_type,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE
    regexp_replace(upper(replace(coalesce(s.strukturbericht, ''), '₂', '2')), '[^A-Z0-9]', '', 'g') = 'L12'
    OR regexp_replace(upper(replace(coalesce(s.prototype, ''), '₂', '2')), '[^A-Z0-9]', '', 'g') LIKE '%L12%'
ORDER BY
    me.reduced_formula,
    me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3002,13709,0,0
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    me.number_of_elements,
    s.prototype,
    s.strukturbericht,
    s.formula_type,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE me.number_of_elements >= 2
  AND EXISTS (
      SELECT 1
      FROM composition AS c
      WHERE c.entry_id = me.entry_id
        AND c.element = 'Ni'
  )
  AND (
      s.strukturbericht IN ('L1_2', 'L12', 'L1₂')
      OR s.prototype ILIKE '%L1_2%'
      OR s.prototype ILIKE '%L12%'
      OR s.prototype ILIKE '%L1₂%'
  )
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3021,13651,0,0
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.formula_type,
    s.space_group_number,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE s.formula_type IN ('A3B', 'A₃B')
ORDER BY me.reduced_formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2584,5781,0,0
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    s.prototype,
    s.strukturbericht,
    s.space_group_number,
    s.space_group,
    s.crystal_system,
    s.lattice_a,
    s.lattice_b,
    s.lattice_c
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE (
        regexp_replace(upper(coalesce(s.strukturbericht, '')), '[^A-Z0-9]', '', 'g') = 'L12'
        OR regexp_replace(upper(coalesce(s.prototype, '')), '[^A-Z0-9]', '', 'g') = 'L12'
    )
  AND s.lattice_a IS NOT NULL
ORDER BY
    me.reduced_formula,
    me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5988,12702,1,3021
q_easy_005,Coを含む化合物を表示して。,easy,1,baseline2_full_schema,"SELECT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    me.number_of_elements,
    me.source_db,
    me.source_material_id
FROM material_entry AS me
WHERE EXISTS (
    SELECT 1
    FROM composition AS c
    WHERE c.entry_id = me.entry_id
      AND c.element = 'Co'
)
ORDER BY me.reduced_formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2476,3603,0,0
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.crystal_system,
    s.space_group_number,
    s.space_group
FROM material_entry AS me
JOIN structure AS s
    ON me.entry_id = s.entry_id
WHERE LOWER(s.crystal_system) = 'cubic'
ORDER BY me.reduced_formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2471,3310,0,0
q_easy_007,L1₂型化合物のリストを出して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE
    s.strukturbericht IN ('L1_2', 'L12', 'L1₂')
    OR s.prototype ILIKE '%L1_2%'
    OR s.prototype ILIKE '%L12%'
    OR s.prototype ILIKE '%L1₂%'
ORDER BY
    me.reduced_formula,
    me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2836,8723,0,0
q_easy_008,Alを含む化合物を抽出して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    me.number_of_elements
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
WHERE c.element = 'Al'
  AND me.number_of_elements > 1
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2485,5059,0,0
q_easy_009,空間群番号221の化合物を表示して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON me.entry_id = s.entry_id
WHERE s.space_group_number = 221
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2448,4379,0,0
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE EXISTS (
    SELECT 1
    FROM composition AS c
    WHERE c.entry_id = me.entry_id
      AND c.element = 'Ti'
)
AND (
    s.prototype ILIKE 'L1_2'
    OR s.prototype ILIKE 'L12'
    OR s.prototype ILIKE 'L1₂'
    OR s.strukturbericht ILIKE 'L1_2'
    OR s.strukturbericht ILIKE 'L12'
    OR s.strukturbericht ILIKE 'L1₂'
)
ORDER BY me.reduced_formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2609,4920,0,0
q_easy_011,全化合物のformula一覧を出して。,easy,0,baseline2_full_schema,"SELECT formula
FROM material_entry
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2382,2408,0,0
q_easy_012,L12型化合物の数を教えて。,easy,1,baseline2_full_schema,"SELECT COUNT(DISTINCT me.entry_id) AS l12_compound_count
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE upper(replace(replace(COALESCE(s.strukturbericht, ''), '_', ''), ' ', '')) = 'L12'
   OR s.prototype ILIKE '%L12%'
   OR s.prototype ILIKE '%L1\_2%' ESCAPE '\'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2786,10958,0,0
q_easy_013,Ptを含む化合物を表示して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    me.number_of_elements
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
WHERE c.element = 'Pt'
ORDER BY me.reduced_formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2441,4015,0,0
q_easy_014,NiとAlの両方を含む化合物を抽出して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system
FROM material_entry AS me
WHERE EXISTS (
    SELECT 1
    FROM composition AS c
    WHERE c.entry_id = me.entry_id
      AND c.element = 'Ni'
)
AND EXISTS (
    SELECT 1
    FROM composition AS c
    WHERE c.entry_id = me.entry_id
      AND c.element = 'Al'
)
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2522,4060,0,0
q_easy_015,Gaを含むL1₂型化合物を表示して。,easy,2,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.formula_type,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE c.element = 'Ga'
  AND (
      s.strukturbericht IN ('L1₂', 'L12', 'L1_2', 'L1 2')
      OR s.prototype ILIKE '%L1₂%'
      OR s.prototype ILIKE '%L12%'
      OR s.prototype ILIKE '%L1_2%'
      OR s.prototype ILIKE '%Cu3Au%'
  )
ORDER BY me.reduced_formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2789,9879,0,0
q_easy_016,Feを含む化合物を一覧にして。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    me.number_of_elements
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
WHERE c.element = 'Fe'
ORDER BY me.reduced_formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2451,3970,0,0
q_easy_017,Aサイトの元素を一覧にして。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    c.element AS element_symbol,
    e.name AS element_name
FROM composition c
LEFT JOIN element e
    ON c.element = e.symbol
WHERE
    c.site_label ILIKE 'A%'
    OR c.site_label ILIKE '%A-site%'
    OR c.site_label ILIKE '%A_site%'
    OR c.site_label ILIKE '%A site%'
ORDER BY c.element
LIMIT 10000;",True,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5326,7173,1,2784
q_easy_018,化合物の元素系を表示して。,easy,0,baseline2_full_schema,"SELECT DISTINCT
    reduced_formula,
    chemical_system
FROM material_entry
WHERE number_of_elements > 1
ORDER BY chemical_system, reduced_formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2481,4100,0,0
q_easy_019,L1₂型でcubic構造の化合物を出して。,easy,1,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.crystal_system,
    s.space_group_number,
    s.space_group
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE s.crystal_system ILIKE 'cubic'
  AND (
      s.strukturbericht IN ('L1₂', 'L1_2', 'L12')
      OR s.prototype ILIKE '%L1₂%'
      OR s.prototype ILIKE '%L1_2%'
      OR s.prototype ILIKE '%L12%'
  )
ORDER BY me.reduced_formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2722,7466,0,0
q_easy_020,Wを含むL1₂型化合物を表示して。,easy,2,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.space_group_number,
    s.space_group,
    s.crystal_system
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE c.element = 'W'
  AND (
      s.strukturbericht IN ('L1₂', 'L12', 'L1_2')
      OR s.prototype ILIKE '%L1₂%'
      OR s.prototype ILIKE '%L12%'
      OR s.prototype ILIKE '%L1_2%'
  )
ORDER BY me.reduced_formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2682,8862,0,0
q_medium_001,Niを含む安定なL1₂型化合物を抽出して。,medium,3,baseline2_full_schema,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    me.reduced_formula,
    me.chemical_system,
    s.prototype,
    s.strukturbericht,
    s.space_group_number,
    s.crystal_system,
    ps.formation_energy_per_atom,
    ps.energy_above_hull,
    ps.is_stable
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
JOIN phase_stability AS ps
    ON ps.entry_id = me.entry_id
WHERE ps.is_stable = TRUE
  AND EXISTS (
      SELECT 1
      FROM composition AS c
      WHERE c.entry_id = me.entry_id
        AND c.element = 'Ni'
  )
  AND (
      s.strukturbericht IN ('L1_2', 'L12', 'L1₂')
      OR s.prototype ILIKE '%L1_2%'
      OR s.prototype ILIKE '%L12%'
      OR s.prototype ILIKE '%L1₂%'
  )
LIMIT 10000;",True,True,1.0,0.4,1.0,0.5714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,2732,8321,0,0
q_medium_002,形成エネルギーが負のL1₂型化合物を元素組み合わせごとに整理して。,medium,2,baseline2_full_schema,"SELECT
    x.element_combination,
    COUNT(*) AS compound_count,
    JSONB_AGG(
        JSONB_BUILD_OBJECT(
            'entry_id', x.entry_id,
            'formula', x.formula,
            'reduced_formula', x.reduced_formula,
            'formation_energy_per_atom', x.formation_energy_per_atom,
            'space_group_number', x.space_group_number,
            'space_group', x.space_group,
            'prototype', x.prototype,
            'strukturbericht', x.strukturbericht
        )
        ORDER BY x.formation_energy_per_atom ASC, x.reduced_formula
    ) AS l12_compounds
FROM (
    SELECT DISTINCT
        me.entry_id,
        me.formula,
        me.reduced_formula,
        me.chemical_system AS element_combination,
        ps.formation_energy_per_atom,
        s.space_group_number,
        s.space_group,
        s.prototype,
        s.strukturbericht
    FROM material_entry me
    JOIN phase_stability ps
        ON ps.entry_id = me.entry_id
    JOIN structure s
        ON s.entry_id = me.entry_id
    WHERE ps.formation_energy_per_atom < 0
      AND (
          s.strukturbericht ILIKE 'L1_2'
          OR s.strukturbericht ILIKE 'L12'
          OR s.strukturbericht ILIKE 'L1₂'
          OR s.prototype ILIKE '%L1_2%'
          OR s.prototype ILIKE '%L12%'
          OR s.prototype ILIKE '%L1₂%'
      )
) x
GROUP BY x.element_combination
ORDER BY x.element_combination
LIMIT 10000;",True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3177,19055,0,0
