word_ja,word_en,category
鋼,steel,金属材料・合金
高強度鋼,high-strength steel,金属材料・合金
ステンレス鋼,stainless steel,金属材料・合金
炭素鋼,carbon steel,金属材料・合金
合金鋼,alloy steel,金属材料・合金
工具鋼,tool steel,金属材料・合金
ステンレス,stainless,金属材料・合金
アルミニウム合金,aluminum alloy,金属材料・合金
アルミ合金,Al alloy,金属材料・合金
銅合金,copper alloy,金属材料・合金
真鍮,brass,金属材料・合金
ブロンズ,bronze,金属材料・合金
チタン合金,titanium alloy,金属材料・合金
Ti 合金,Ti alloy,金属材料・合金
マグネシウム合金,magnesium alloy,金属材料・合金
Mg 合金,Mg alloy,金属材料・合金
ニッケル合金,nickel alloy,金属材料・合金
Ni 合金,Ni alloy,金属材料・合金
超合金,superalloy,金属材料・合金
耐熱合金,heat-resistant alloy,金属材料・合金
金属間化合物,intermetallic compound,金属材料・合金
間化合物,intermetallic,金属材料・合金
L12 化合物,L12 compound,金属材料・合金
B2 化合物,B2 compound,金属材料・合金
ダイヤモンド,diamond,金属材料・合金
炭化物,carbide,金属材料・合金
酸化物,oxide,金属材料・合金
窒化物,nitride,金属材料・合金
けい化物,silicide,金属材料・合金
硼化物,boride,金属材料・合金
単結晶,single crystal,金属材料・合金
多結晶,polycrystal,金属材料・合金
ナノ結晶,nanocrystal,金属材料・合金
微細結晶,fine crystal,金属材料・合金
粗大結晶,coarse crystal,金属材料・合金
アモルファス,amorphous,金属材料・合金
非晶質,non-crystalline,金属材料・合金
ガラス金属,metallic glass,金属材料・合金
高entropy合金,high-entropy alloy,金属材料・合金
HEA,HEA,金属材料・合金
結晶構造,crystal structure,結晶構造・結晶学
FCC,FCC,結晶構造・結晶学
面心立方,face-centered cubic,結晶構造・結晶学
BCC,BCC,結晶構造・結晶学
体心立方,body-centered cubic,結晶構造・結晶学
HCP,HCP,結晶構造・結晶学
_hexagonal 密立,hexagonal close-packed,結晶構造・結晶学
六方密立,hexagonal close-packed,結晶構造・結晶学
B2 構造,B2 structure,結晶構造・結晶学
L12 構造,L12 structure,結晶構造・結晶学
D019 構造,D019 structure,結晶構造・結晶学
 urat 構造,Laves structure,結晶構造・結晶学
ラーブス構造,Laves structure,結晶構造・結晶学
格子定数,lattice constant,結晶構造・結晶学
格子パラメータ,lattice parameter,結晶構造・結晶学
格子間,lattice spacing,結晶構造・結晶学
対称性,symmetry,結晶構造・結晶学
結晶系,crystal system,結晶構造・結晶学
単位格子,unit cell,結晶構造・結晶学
ブラヴィアス格子,Bravais lattice,結晶構造・結晶学
転位,dislocation,結晶構造・結晶学
品界,grain boundary,結晶構造・結晶学
粒界,grain boundary,結晶構造・結晶学
双晶,twin,結晶構造・結晶学
双晶界,twin boundary,結晶構造・結晶学
点欠陥,point defect,結晶構造・結晶学
線欠陥,line defect,結晶構造・結晶学
面欠陥,planar defect,結晶構造・結晶学
空孔,vacancy,結晶構造・結晶学
隙間原子,interstitial atom,結晶構造・結晶学
不純物,impurity,結晶構造・結晶学
助子,substitutional atom,結晶構造・結晶学
置換原子,substitutional atom,結晶構造・結晶学
結晶orientation,crystal orientation,結晶構造・結晶学
結晶方位,crystal orientation,結晶構造・結晶学
ミラー指数,Miller index,結晶構造・結晶学
方位関係,orientation relationship,結晶構造・結晶学
極点図,pole figure,結晶構造・結晶学
逆極点図,inverse pole figure,結晶構造・結晶学
EBSD,EBSD,結晶構造・結晶学
XRD,XRD,結晶構造・結晶学
X 線回折,X-ray diffraction,結晶構造・結晶学
中性子回折,neutron diffraction,結晶構造・結晶学
電子回折,electron diffraction,結晶構造・結晶学
TEM,TEM,結晶構造・結晶学
SEM,SEM,結晶構造・結晶学
AFM,AFM,結晶構造・結晶学
相図,phase diagram,熱力学・相平衡
平衡相図,equilibrium phase diagram,熱力学・相平衡
ギブス自由エネルギー,Gibbs free energy,熱力学・相平衡
自由エネルギー,free energy,熱力学・相平衡
エンタルピー,enthalpy,熱力学・相平衡
エントロピー,entropy,熱力学・相平衡
活量,activity,熱力学・相平衡
化学ポテンシャル,chemical potential,熱力学・相平衡
溶解度,solubility,熱力学・相平衡
飽和溶解度,saturation solubility,熱力学・相平衡
相変態,phase transformation,熱力学・相平衡
相転移,phase transition,熱力学・相平衡
固相変態,solid-state transformation,熱力学・相平衡
液相,liquid phase,熱力学・相平衡
固相,solid phase,熱力学・相平衡
気相,gas phase,熱力学・相平衡
単相,single phase,熱力学・相平衡
複相,multi-phase,熱力学・相平衡
二相,two-phase,熱力学・相平衡
三相,three-phase,熱力学・相平衡
CALPHAD,CALPHAD,熱力学・相平衡
DICTRA,DICTRA,熱力学・相平衡
相平衡,phase equilibrium,熱力学・相平衡
臨界点,critical point,熱力学・相平衡
融点,melting point,熱力学・相平衡
凝固点,freezing point,熱力学・相平衡
沸点,boiling point,熱力学・相平衡
析出,precipitation,熱力学・相平衡
析出物,precipitate,熱力学・相平衡
析出相,precipitation phase,熱力学・相平衡
生成エントロピー,formation entropy,熱力学・相平衡
生成エンタルピー,formation enthalpy,熱力学・相平衡
混合エントロピー,mixing entropy,熱力学・相平衡
混合エンタルピー,mixing enthalpy,熱力学・相平衡
活量係数,activity coefficient,熱力学・相平衡
分配係数,partition coefficient,熱力学・相平衡
セグネーション,segregation,熱力学・相平衡
偏析,segregation,熱力学・相平衡
粒界偏析,grain boundary segregation,熱力学・相平衡
