query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,baseline4_fk_list,"SELECT DISTINCT
    me.entry_id,
    me.formula
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE
    s.strukturbericht IN ('L1_2', 'L1₂', 'L12')
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3765,12973,1,2292
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,baseline4_fk_list,"SELECT DISTINCT
    me.*
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE c.element = 'Ni'
  AND (
        s.strukturbericht ILIKE '%L1_2%'
        OR s.strukturbericht ILIKE '%L12%'
        OR s.strukturbericht ILIKE '%L1₂%'
        OR s.prototype ILIKE '%L1_2%'
        OR s.prototype ILIKE '%L12%'
        OR s.prototype ILIKE '%L1₂%'
      )
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4016,13258,1,2472
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,baseline4_fk_list,"SELECT me.*
FROM material_entry AS me
WHERE me.entry_id IN (
    SELECT c.entry_id
    FROM composition AS c
    GROUP BY c.entry_id
    HAVING COUNT(DISTINCT c.element) = 2
       AND ABS(MAX(c.atomic_fraction)::numeric / NULLIF(MIN(c.atomic_fraction)::numeric, 0) - 3) < 1e-6
)
LIMIT 10000;",True,True,1.0,0.9679012345679012,1.0,0.9836888331242158,0.0,0.0,0.0,0.0,1.0,0.0,3923,14128,1,2427
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,baseline4_fk_list,"SELECT
    me.entry_id,
    me.formula,
    s.lattice_a AS lattice_constant_a,
    'angstrom' AS lattice_parameter_unit
FROM material_entry AS me
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE
    (
        REPLACE(REPLACE(UPPER(s.prototype), '_', ''), '₂', '2') = 'L12'
        OR REPLACE(REPLACE(UPPER(s.strukturbericht), '_', ''), '₂', '2') = 'L12'
    )
    AND s.lattice_a IS NOT NULL
ORDER BY
    me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7319,12285,2,5771
q_easy_005,Coを含む化合物を表示して。,easy,1,baseline4_fk_list,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN composition AS c
  ON c.entry_id = me.entry_id
WHERE c.element = 'Co'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1050,3875,0,0
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,baseline4_fk_list,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE s.crystal_system ILIKE 'cubic'
ORDER BY me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1344,9033,0,0
q_easy_007,L1₂型化合物のリストを出して。,easy,1,baseline4_fk_list,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE to_jsonb(s)::text ILIKE ANY (
  ARRAY[
    '%L1₂%',
    '%L1_2%',
    '%L12%',
    '%Cu3Au%'
  ]
)
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1478,14397,0,0
q_easy_008,Alを含む化合物を抽出して。,easy,1,baseline4_fk_list,"SELECT DISTINCT
    me.*
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
WHERE c.element = 'Al'
  AND EXISTS (
      SELECT 1
      FROM composition AS c2
      WHERE c2.entry_id = me.entry_id
        AND c2.element <> 'Al'
  )
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1173,5674,0,0
q_easy_009,空間群番号221の化合物を表示して。,easy,1,baseline4_fk_list,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE s.space_group_number = 221
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1174,6335,0,0
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,baseline4_fk_list,"SELECT DISTINCT
    me.entry_id,
    me.formula,
    s.strukturbericht AS structure_type
FROM material_entry AS me
JOIN composition AS c
    ON c.entry_id = me.entry_id
JOIN structure AS s
    ON s.entry_id = me.entry_id
WHERE c.element = 'Ti'
  AND regexp_replace(upper(s.strukturbericht), '[^A-Z0-9]', '', 'g') = 'L12'
ORDER BY me.formula, me.entry_id
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3890,12030,1,2378
