query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.formula AS chemical_formula
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE
  regexp_replace(
    translate(upper(COALESCE(s.strukturbericht, '')), '₀₁₂₃₄₅₆₇₈₉', '0123456789'),
    '[^A-Z0-9]',
    '',
    'g'
  ) = 'L12'
  OR regexp_replace(
    translate(upper(COALESCE(s.prototype, '')), '₀₁₂₃₄₅₆₇₈₉', '0123456789'),
    '[^A-Z0-9]',
    '',
    'g'
  ) IN ('L12', 'CU3AU')
  OR s.prototype ILIKE '%Cu3Au%'
ORDER BY chemical_formula
LIMIT 10000;",True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5845,11945,2,5237
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,baseline1_llm_only,"SELECT DISTINCT me.*, s.*
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
JOIN composition AS c
  ON c.entry_id = me.entry_id
LEFT JOIN material_alloy_system AS mas
  ON mas.entry_id = me.entry_id
LEFT JOIN alloy_system AS als
  ON als.alloy_system_id = mas.alloy_system_id
WHERE c.element = 'Ni'
  AND me.number_of_elements >= 2
  AND (
      s.strukturbericht ILIKE '%L12%'
      OR s.strukturbericht ILIKE '%L1_2%'
      OR s.strukturbericht ILIKE '%L1₂%'
      OR s.prototype ILIKE '%Cu3Au%'
      OR (
          s.space_group_number = 221
          AND s.formula_type IN ('A3B', 'AB3')
      )
  )
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,6416,15481,2,5779
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,baseline1_llm_only,"SELECT DISTINCT
    me.entry_id AS material_id,
    me.formula
FROM material_entry AS me
JOIN structure AS s
    ON me.entry_id = s.entry_id
WHERE s.formula_type IN ('A3B', 'AB3')
LIMIT 10000;",True,True,1.0,0.9522058823529411,1.0,0.975517890772128,0.0,0.0,0.0,0.0,1.0,0.0,4013,39072,1,2374
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,baseline1_llm_only,"SELECT
  me.formula,
  s.lattice_a AS a,
  s.lattice_b AS b,
  s.lattice_c AS c,
  90.0 AS alpha,
  90.0 AS beta,
  90.0 AS gamma
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE (
    s.strukturbericht IN ('L12', 'L1_2', 'L1₂')
    OR s.prototype IN ('L12', 'L1_2', 'L1₂')
  )
  AND s.lattice_a IS NOT NULL
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6245,11082,2,5571
q_easy_005,Coを含む化合物を表示して。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN composition AS c
  ON c.entry_id = me.entry_id
JOIN element AS e
  ON e.symbol = c.element
WHERE e.symbol = 'Co'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2844,12699,1,2227
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.formula
FROM material_entry AS me
JOIN structure AS s
  ON me.entry_id = s.entry_id
WHERE s.crystal_system ILIKE 'cubic'
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2794,10818,1,2198
q_easy_007,L1₂型化合物のリストを出して。,easy,1,baseline1_llm_only,"SELECT DISTINCT
    me.source_material_id AS compound_name,
    me.formula
FROM material_entry AS me
JOIN structure AS s
    ON me.entry_id = s.entry_id
WHERE s.strukturbericht IN ('L1₂', 'L1_2', 'L12')
   OR s.prototype IN ('L1₂', 'L1_2', 'L12')
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3194,14127,1,2583
q_easy_008,Alを含む化合物を抽出して。,easy,1,baseline1_llm_only,"SELECT *
FROM material_entry
WHERE formula ~ '(^|[^a-z])Al([^a-z]|$)'
LIMIT 10000;",True,True,0.33766233766233766,1.0,0.33766233766233766,0.5048543689320388,0.0,0.0,0.0,0.0,0.0,0.0,3235,13646,1,2636
q_easy_009,空間群番号221の化合物を表示して。,easy,1,baseline1_llm_only,"SELECT me.formula AS compound
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE s.space_group_number = 221
LIMIT 10000;",True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2778,9982,1,2265
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,baseline1_llm_only,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN composition AS comp
  ON comp.entry_id = me.entry_id
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE comp.element = 'Ti'
  AND lower(replace(translate(s.strukturbericht, '₀₁₂₃₄₅₆₇₈₉', '0123456789'), '_', '')) = 'l12'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3199,12324,1,2539
