query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,proposed,"SELECT DISTINCT m.formula, s.prototype, s.strukturbericht
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.prototype = 'L12' OR s.strukturbericht = 'L12'
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2265,6619,0,0
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,proposed,"SELECT DISTINCT m.formula, c.element, c.atomic_fraction
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
JOIN structure s ON s.entry_id = m.entry_id
WHERE c.element = 'Ni'
  AND (s.prototype = 'L12' OR s.strukturbericht = 'L12')
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2785,14534,0,0
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,proposed,"SELECT DISTINCT m.formula, c.element, c.atomic_fraction
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE m.number_of_elements = 2
  AND EXISTS (
    SELECT 1
    FROM composition
    WHERE composition.entry_id = m.entry_id
      AND ABS(composition.atomic_fraction - 0.75) < 0.000001
  )
  AND EXISTS (
    SELECT 1
    FROM composition
    WHERE composition.entry_id = m.entry_id
      AND ABS(composition.atomic_fraction - 0.25) < 0.000001
  )
ORDER BY m.formula, c.atomic_fraction DESC, c.element
LIMIT 10000;",True,True,1.0,0.9522058823529411,1.0,0.975517890772128,0.0,0.0,0.0,0.0,0.0,0.0,3096,22930,0,0
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,proposed,"SELECT m.formula, s.lattice_a
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE (s.prototype = 'L12' OR s.strukturbericht = 'L12')
  AND s.lattice_a IS NOT NULL
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3148,3542,1,1017
q_easy_005,Coを含む化合物を表示して。,easy,1,proposed,"SELECT DISTINCT m.formula, c.element, c.atomic_fraction
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE c.element = 'Co'
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2353,4528,0,0
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,proposed,"SELECT DISTINCT
    m.formula,
    s.crystal_system
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.crystal_system = 'cubic'
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2138,3093,0,0
q_easy_007,L1₂型化合物のリストを出して。,easy,1,proposed,"SELECT DISTINCT
    m.formula,
    s.prototype,
    s.strukturbericht
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.prototype = 'L12'
   OR s.strukturbericht = 'L12'
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2343,6444,0,0
q_easy_008,Alを含む化合物を抽出して。,easy,1,proposed,"SELECT DISTINCT m.formula, c.element, c.atomic_fraction
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE c.element = 'Al'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,3829,0,0
q_easy_009,空間群番号221の化合物を表示して。,easy,1,proposed,"SELECT DISTINCT m.formula, s.space_group_number
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.space_group_number = 221
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2289,4262,0,0
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,proposed,"SELECT DISTINCT m.formula, c.element, c.atomic_fraction
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
JOIN structure s ON s.entry_id = m.entry_id
WHERE (s.prototype = 'L12' OR s.strukturbericht = 'L12')
  AND c.element = 'Ti'
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2553,9537,0,0
